arm,op,bytes,us,gbs,rnr_per_op,oob_per_op
link2cudanf,allreduce,67108864,4273.1,21.02,4.85,0.00
link2cudanf,alltoall,147456,130.6,0.76,0.39,0.01
link2cudanf,alltoall,270336,151.0,1.19,0.48,0.00
link2cudanf,alltoall,540672,134.4,2.76,0.77,0.02
link2cudanf,alltoall,1056768,111.7,6.36,0.30,0.06
link2cudanf,alltoall,2113536,577.2,2.63,5.09,0.38
link2cudanf,alltoall,4202496,639.0,5.05,4.88,0.33
link2cudanf,alltoall,8404992,784.3,8.07,4.34,0.53
link2cudanf,alltoall,16785408,680.2,16.84,1.45,1.42
link2cudanf,alltoall,33570816,1294.1,17.84,2.47,4.35
link2cudanf,alltoall,67117056,2362.5,19.30,3.48,4.62
link2cudanf,sendrecv,131072,87.8,2.10,0.17,0.04
link2cudanf,sendrecv,262144,132.4,3.08,0.59,0.23
link2cudanf,sendrecv,524288,147.3,3.72,0.41,0.00
link2cudanf,sendrecv,1048576,130.6,9.16,0.42,0.09
link2cudanf,sendrecv,2097152,243.8,8.63,0.16,0.00
link2cudanf,sendrecv,4194304,741.7,5.69,3.87,0.00
link2cudanf,sendrecv,8388608,895.6,9.38,4.28,0.00
link2cudanf,sendrecv,16777216,945.6,18.23,1.63,0.16
link2cudanf,sendrecv,33554432,1911.1,18.41,5.55,3.98
link2cudanf,sendrecv,67108864,3558.0,18.87,8.68,2.98
link2cudanf,step90,47185920,9081.5,,,
link2cudach16,allreduce,131072,235.8,0.74,0.88,0.16
link2cudach16,allreduce,262144,291.9,1.21,0.86,0.23
link2cudach16,allreduce,524288,269.8,2.62,1.32,0.66
link2cudach16,allreduce,1048576,463.9,3.02,1.96,0.35
link2cudach16,allreduce,2097152,905.9,3.10,4.27,0.60
link2cudach16,allreduce,4194304,800.1,11.00,8.96,3.14
link2cudach16,allreduce,8388608,857.0,15.13,2.39,2.21
link2cudach16,allreduce,16777216,1368.9,16.38,4.20,2.06
link2cudach16,allreduce,33554432,2820.8,16.56,16.02,1.20
link2cudach16,allreduce,67108864,5453.6,16.41,22.83,9.85
link2cudach16,alltoall,147456,143.7,0.70,0.61,0.01
link2cudach16,alltoall,270336,148.8,1.35,0.53,0.00
link2cudach16,alltoall,540672,149.9,2.45,0.61,0.04
link2cudach16,alltoall,1056768,194.0,3.72,1.34,0.00
link2cudach16,alltoall,2113536,652.0,2.31,6.33,0.00
link2cudach16,alltoall,4202496,569.2,5.99,4.49,0.08
link2cudach16,alltoall,8404992,842.2,7.05,5.93,0.00
link2cudach16,alltoall,16785408,1147.5,10.15,5.53,0.00
link2cudach16,alltoall,33570816,2748.2,8.32,19.33,0.00
link2cudach16,alltoall,67117056,3165.3,14.15,13.20,0.00
link2cudach16,sendrecv,131072,201.3,0.67,0.60,0.00
link2cudach16,sendrecv,262144,199.3,1.41,0.85,0.00
link2cudach16,sendrecv,524288,321.5,1.71,0.79,0.03
link2cudach16,sendrecv,1048576,190.0,5.89,1.01,0.00
link2cudach16,sendrecv,2097152,735.0,2.93,3.46,0.00
link2cudach16,sendrecv,4194304,723.0,6.67,3.60,0.00
link2cudach16,sendrecv,8388608,868.3,12.61,3.55,0.00
link2cudach16,sendrecv,16777216,1083.0,16.31,3.20,0.27
link2cudach16,sendrecv,33554432,2711.7,12.68,12.55,2.20
link2cudach16,sendrecv,67108864,4071.4,16.60,12.38,0.00
link2cudach16,step90,47185920,26506.0,,,
link2dmabuf,allreduce,131072,329.6,0.53,2.13,0.05
link2dmabuf,allreduce,262144,186.9,1.88,1.47,0.00
link2dmabuf,allreduce,524288,266.8,2.63,1.70,0.00
link2dmabuf,allreduce,1048576,313.9,4.59,1.22,0.00
link2dmabuf,allreduce,2097152,906.8,3.31,7.70,0.00
link2dmabuf,allreduce,4194304,774.1,7.23,6.18,0.41
link2dmabuf,allreduce,8388608,973.4,11.50,5.87,0.15
link2dmabuf,allreduce,16777216,1605.8,13.96,7.39,0.31
link2dmabuf,allreduce,33554432,3154.6,15.12,13.53,3.23
link2dmabuf,allreduce,67108864,5118.9,18.08,17.18,3.52
link2dmabuf,alltoall,147456,129.6,0.76,0.41,0.00
link2dmabuf,alltoall,270336,170.2,1.06,0.51,0.00
link2dmabuf,alltoall,540672,137.9,2.67,0.54,0.07
link2dmabuf,alltoall,1056768,182.6,3.91,0.64,0.04
link2dmabuf,alltoall,2113536,729.2,1.94,4.67,0.03
link2dmabuf,alltoall,4202496,915.9,3.21,6.06,0.49
link2dmabuf,alltoall,8404992,889.5,6.44,5.60,0.30
link2dmabuf,alltoall,16785408,1016.4,11.31,4.70,0.21
link2dmabuf,alltoall,33570816,2686.2,8.43,17.18,0.12
link2dmabuf,alltoall,67117056,2947.6,15.32,10.22,0.08
link2dmabuf,sendrecv,131072,137.8,1.03,0.27,0.01
link2dmabuf,sendrecv,262144,162.7,1.73,0.44,0.00
link2dmabuf,sendrecv,524288,167.3,3.25,0.52,0.01
link2dmabuf,sendrecv,1048576,311.5,3.93,1.85,0.03
link2dmabuf,sendrecv,2097152,746.8,2.92,5.23,0.00
link2dmabuf,sendrecv,4194304,697.3,6.32,4.61,0.00
link2dmabuf,sendrecv,8388608,978.7,8.57,5.60,0.00
link2dmabuf,sendrecv,16777216,1081.7,15.73,3.18,0.00
link2dmabuf,sendrecv,33554432,2057.9,16.31,3.85,1.57
link2dmabuf,sendrecv,67108864,4097.1,16.39,6.25,0.00
link2dmabuf,step90,47185920,9120.5,,,
