# device,NVIDIA GB10,cc,12.1,SMs,48,L2_bytes,25165824,cold_mult,4,torch,2.13.0+cu130,backend,native,cuda_graph,True,rounds,3,peak_alloc_GiB,1.475
shape,k,n,m,arm,bits,variant,n_rot,graph_calls,us_median,us_r1,us_r2,us_r3,bytes_per_call,gbs,ratio_vs_bf16_linear,calls_per_step,note
f_b_proj  unsharded,128,8192,1,bf16_matmul,16,coldA,48,200,11.906,11.903,11.923,11.906,2113792,177.5,,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,1,bf16_matmul,16,coldB,192,200,11.883,11.948,11.883,11.798,2113792,177.9,,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,8,bf16_matmul,16,warm,1,200,4.698,4.709,4.689,4.698,2230272,474.7,,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,8,bf16_matmul,16,coldA,48,200,10.939,10.492,10.939,12.854,2230272,203.9,,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,8,bf16_matmul,16,coldB,192,200,11.055,10.567,11.055,13.027,2230272,201.7,,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,64,bf16_matmul,16,warm,1,200,7.908,7.914,7.908,7.903,3162112,399.9,,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,64,bf16_matmul,16,coldA,48,200,11.432,11.427,11.432,11.441,3162112,276.6,,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,64,bf16_matmul,16,coldB,192,200,11.313,11.313,11.316,11.292,3162112,279.5,,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,1,exl3,4,warm,1,200,4.316,4.325,4.316,4.309,557568,129.2,0.7053,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,1,exl3,4,coldA,48,200,5.234,5.225,5.236,5.234,557568,106.5,0.5479,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,1,exl3,4,coldB,192,200,6.133,6.149,6.133,6.130,557568,90.9,0.6447,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,8,exl3,4,warm,1,200,4.932,5.275,4.932,4.723,674048,136.7,1.4788,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,8,exl3,4,coldA,48,200,5.588,5.592,5.588,5.582,674048,120.6,0.5605,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,8,exl3,4,coldB,192,200,6.387,6.390,6.387,6.387,674048,105.5,0.6428,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,64,exl3,4,warm,1,200,8.294,8.294,8.296,8.282,1605888,193.6,1.2949,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,64,exl3,4,coldA,48,200,9.289,9.277,9.294,9.289,1605888,172.9,0.8978,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,64,exl3,4,coldB,192,200,9.831,9.837,9.817,9.831,1605888,163.4,0.9513,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,1,exl3,5,warm,1,200,4.569,4.569,4.568,4.569,688640,150.7,0.7466,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,1,exl3,5,coldA,48,200,7.888,7.888,8.045,6.337,688640,87.3,0.8257,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,1,exl3,5,coldB,192,200,6.790,6.781,6.790,6.807,688640,101.4,0.7137,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,8,exl3,5,warm,1,200,4.834,4.839,4.834,4.831,805120,166.6,1.4495,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,8,exl3,5,coldA,48,200,6.438,6.438,6.438,6.439,805120,125.1,0.6457,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,8,exl3,5,coldB,192,200,7.042,7.042,7.019,7.050,805120,114.3,0.7087,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,64,exl3,5,warm,1,200,8.865,8.882,8.865,8.860,1736960,195.9,1.3841,0,"doc shape, replicated ref"
